"","ABEV3.SA","AMER3.SA","B3SA3.SA","BBAS3.SA","BBDC4.SA","BEEF3.SA","BPAC11.SA","BRDT3.SA","BRFS3.SA","BRML3.SA","BTOW3.SA","CCRO3.SA","CIEL3.SA","COGN3.SA","CPLE6.SA","CSAN3.SA","CSNA3.SA","CYRE3.SA","EMBR3.SA","FNOR11.SA","HAPV3.SA","IRBR3.SA","ITSA4.SA","ITUB4.SA","JBSS3.SA","LAME4.SA","LCAM3.SA","LINX3.SA","LREN3.SA","MGLU3.SA","MRVE3.SA","OIBR3.SA","PETR3.SA","PETR4.SA","POSI3.SA","PRIO3.SA","RAIL3.SA","SUZB3.SA","UGPA3.SA","USIM5.SA","VALE3.SA","VIVR3.SA","VVAR3.SA","WIZS3.SA"
"31","1","1","1","1","0","0","1","1","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","1"
"32","1","1","1","1","0","0","1","1","1","0","0","1","1","0","1","0","1","0","1","0","0","1","0","0","1","0","1","0","0","0","1","1","0","1","1","1","1","1","0","0","0","0","1","1"
"33","1","1","1","1","0","0","1","1","1","0","0","1","1","1","1","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","1","1","0","1","1","1","1","1","0","0","0","1","1","1"
"34","1","1","1","1","0","0","1","1","1","0","0","1","1","1","1","0","1","0","1","0","0","1","0","0","1","0","1","0","0","0","1","1","0","1","1","1","1","1","0","1","0","1","1","1"
"35","1","1","1","1","0","0","1","1","1","0","0","1","1","1","1","0","1","0","1","0","0","1","0","1","1","0","1","0","0","0","1","1","1","1","1","1","1","1","0","1","0","1","1","1"
"36","1","1","1","1","0","0","1","1","1","0","0","1","1","1","1","1","1","0","1","0","0","1","0","1","1","0","1","0","0","0","1","1","1","1","1","1","1","1","0","1","0","1","1","1"
"37","1","0","1","1","0","0","1","1","0","0","0","1","1","1","1","0","1","0","1","0","0","1","0","1","0","0","1","0","0","0","1","1","1","0","1","1","1","1","0","0","0","1","1","1"
"38","1","0","1","1","0","0","1","1","0","0","0","1","1","1","1","0","1","0","1","0","0","1","0","0","0","0","1","0","0","0","1","1","1","1","1","1","1","1","1","0","0","1","0","1"
"39","1","0","1","1","0","0","1","1","0","0","0","1","0","1","1","0","1","0","0","0","0","1","0","0","0","1","1","1","1","0","1","1","1","1","1","0","1","1","1","0","1","1","0","1"
"40","1","0","1","1","0","0","1","1","0","0","0","1","0","0","0","0","1","1","1","0","0","1","0","0","0","1","1","0","1","0","1","1","1","1","1","0","1","1","1","1","1","1","0","1"
"41","1","0","1","1","0","0","1","1","0","0","0","1","0","0","0","1","1","1","0","0","1","1","0","0","0","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","1","1","0","1"
"42","1","0","1","1","0","0","1","1","0","0","0","1","0","0","0","0","1","1","1","0","1","1","0","0","0","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1"
"43","1","0","1","1","0","0","1","1","1","0","0","1","1","0","0","1","1","1","1","0","1","1","0","0","0","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1"
"44","1","0","1","1","0","0","1","1","0","0","0","1","1","0","0","1","1","1","1","0","1","1","0","0","0","1","1","1","1","1","1","0","1","0","0","0","1","1","1","1","1","1","0","1"
"45","1","0","1","1","0","0","1","1","0","0","0","1","0","0","0","1","1","1","0","0","1","1","0","0","0","1","1","1","1","0","1","0","1","0","0","0","1","0","1","1","1","1","0","1"
"46","1","0","1","1","0","0","1","1","0","0","0","1","0","0","0","1","0","1","0","0","1","1","0","0","0","0","1","1","1","0","1","0","1","0","0","0","0","0","1","1","1","1","0","1"
"47","1","0","1","1","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","1","1","0","1","0","1","0","0","0","0","0","1","1","1","1","0","1"
"48","1","0","1","1","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","1","1","0","1","0","1","0","0","0","0","0","1","0","1","1","0","1"
"49","1","0","1","1","0","0","0","1","0","0","0","1","0","0","0","1","0","1","1","0","1","1","0","0","0","0","0","1","1","0","1","0","1","0","0","0","1","0","1","0","1","1","0","1"
"50","1","0","1","1","0","0","0","1","0","0","0","1","0","0","0","1","0","1","1","0","1","1","0","0","0","0","0","1","1","0","1","1","1","0","0","0","0","0","1","0","1","1","0","1"
"51","1","0","1","1","0","0","0","1","0","0","0","1","0","0","0","1","0","1","1","0","1","1","0","0","0","0","0","1","1","0","1","1","1","0","0","0","1","0","1","0","1","1","0","1"
"52","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","1","1","0","1","0","1","0","0","0","0","0","1","0","1","1","0","1"
"53","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","1","1","0","1","1","0","0","0","0","0","1","1","0","1","1","1","0","0","0","0","0","1","0","1","1","0","1"
"54","1","1","0","1","0","0","0","1","0","0","0","0","0","0","0","1","1","1","1","0","1","1","0","1","1","0","0","1","1","1","1","1","1","1","1","0","0","0","1","1","1","1","0","1"
"55","1","1","0","1","0","1","0","1","0","0","0","0","0","0","0","1","1","1","1","0","1","1","0","1","1","0","0","1","1","1","1","1","1","1","1","0","0","0","1","1","1","1","0","1"
"56","1","1","0","1","0","1","0","1","0","0","0","0","0","0","0","1","1","1","1","0","1","1","0","1","1","0","0","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","0","1"
"57","1","1","0","1","0","1","0","1","0","0","0","0","0","0","0","1","1","1","1","0","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","0","1"
"58","1","1","0","1","1","1","0","1","0","0","0","0","0","0","0","1","1","1","1","0","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1"
"59","1","1","0","1","1","1","0","1","0","1","0","0","0","0","0","1","0","1","1","0","1","1","0","1","1","0","0","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","0","1"
"60","1","1","0","1","1","1","0","1","1","0","0","0","0","0","0","1","1","1","1","0","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","0","1"
